level,measure,contrast,layer,head,n,mean,median,sd,dz,n_pos,n_neg,p_sign,p_wilcoxon,p_perm,p_fwer,q_bh,mean_adj,dz_adj,p_perm_adj,p_fwer_adj,covariates_used
head,spectral_radius,injected-control,4,6,38.0,-0.001650179736316204,0.0001843571662902832,0.010266969911754131,-0.16072703897953033,19.0,19.0,1.0,0.5276603698730469,0.32673465306938615,1.0,0.4891466151214202,-0.003098548476248699,-0.3405609207563873,0.03739252149570086,1.0,4.0
head,spectral_radius,injected-control,4,7,38.0,0.0023973898496478796,0.002240598201751709,0.007459478452801704,0.3213883936405182,23.0,15.0,0.2558750795433298,0.0718633383512497,0.05578884223155369,0.9994001199760048,0.1386596467114344,0.00291210451139256,0.43438075302365403,0.014197160567886422,0.9876024795040992,4.0
head,spectral_radius,injected-control,4,8,38.0,-0.00246351957321167,-0.0028878450393676758,0.0045017977245152,-0.5472301840782166,9.0,29.0,0.0016580525261815637,0.0005679023452103138,0.0011997600479904018,0.2907418516296741,0.00916831559061322,-0.0033734541047099583,-0.8870092304064587,0.0001999600079984003,0.022195560887822437,4.0
head,spectral_radius,injected-control,4,9,38.0,-0.007661499548703432,-0.006564915180206299,0.006879948545247316,-1.113598346710205,5.0,33.0,4.255962267052382e-06,4.17494447901845e-08,0.0001999600079984003,0.0001999600079984003,0.0030111624733876754,-0.007885153029748298,-1.3443774408153302,0.0001999600079984003,0.0001999600079984003,4.0
head,spectral_radius,injected-control,4,10,38.0,-0.0030778490472584963,-0.0033916831016540527,0.005722477566450834,-0.5378525257110596,10.0,28.0,0.0050976432976312935,0.00036406744038686156,0.0021995600879824036,0.3277344531093781,0.013903392161073959,-0.004078429924216284,-0.915700654675321,0.0001999600079984003,0.014197160567886422,4.0
head,spectral_radius,injected-control,4,11,38.0,0.001273475238122046,0.00157088041305542,0.004534466192126274,0.28084346652030945,25.0,13.0,0.07295138851623051,0.04946785792708397,0.09318136372725455,1.0,0.20388400952288174,0.0009063684875151263,0.20548493696894557,0.30133973205358927,1.0,4.0
head,spectral_radius,injected-control,4,12,38.0,0.0020921574905514717,0.001279294490814209,0.016782240942120552,0.12466496229171753,26.0,12.0,0.03355243967962451,0.03571346029639244,0.4523095380923815,1.0,0.5877728007697952,0.0029915407449025693,0.1754692324027772,0.2375524895020996,1.0,4.0
head,spectral_radius,injected-control,4,13,38.0,0.0015036369441077113,0.0014364123344421387,0.00465643173083663,0.3229161500930786,23.0,15.0,0.2558750795433298,0.07424744963645935,0.05118976204759048,0.9994001199760048,0.13104579084183163,0.0020202720371613617,0.45239312592754216,0.04359128174365127,0.976004799040192,4.0
head,spectral_radius,injected-control,4,14,38.0,-0.0003708036383613944,-0.0007264018058776855,0.005035874433815479,-0.07363242655992508,16.0,22.0,0.417692190836533,0.5371132493019104,0.6576684663067387,1.0,0.756688212919214,-0.0005343229041985891,-0.11769163271995006,0.5356928614277144,1.0,4.0
head,spectral_radius,injected-control,4,15,38.0,-0.005762043874710798,-0.0055696964263916016,0.011957827024161816,-0.481863796710968,8.0,30.0,0.0004719867429230362,0.00019970499852206558,0.0033993201359728054,0.5860827834433113,0.018129707391854964,-0.007926271742096765,-0.964021918027093,0.0001999600079984003,0.007798440311937612,4.0
head,spectral_radius,injected-control,4,16,38.0,-0.002850322285667062,-0.0030342936515808105,0.008466367609798908,-0.3366641402244568,17.0,21.0,0.6271025701571489,0.06954077631235123,0.041791641671665665,0.9976004799040192,0.11628978552115664,-0.0031709795181122692,-0.371449314995239,0.07378524295140972,1.0,4.0
head,spectral_radius,injected-control,4,17,38.0,0.0005567826447077096,9.5367431640625e-06,0.01612398587167263,0.034531328827142715,19.0,19.0,1.0,0.9087138772010803,0.8868226354729054,1.0,0.936192143014696,-3.1562627127597764e-05,-0.0019207120415165662,0.991001799640072,1.0,4.0
head,spectral_radius,injected-control,4,18,38.0,0.003282270859926939,0.003386378288269043,0.005446998868137598,0.6025833487510681,27.0,11.0,0.013852965261321515,0.00038839588523842394,0.0007998400319936012,0.13357328534293142,0.007184528006679365,0.0026073534505520663,0.49102583286905044,0.011197760447910418,0.9150169966006798,4.0
head,spectral_radius,injected-control,4,19,38.0,-0.0022082736250013113,-0.002180159091949463,0.007121227215975523,-0.310097336769104,14.0,24.0,0.14330665429588407,0.10483714193105698,0.05838832233553289,0.9998000399920016,0.14035127246851098,-0.0026318716464999877,-0.3719874925692601,0.09118176364727054,1.0,4.0
head,spectral_radius,injected-control,4,20,38.0,-0.0033486171159893274,-0.0036047697067260742,0.0072920178063213825,-0.45921680331230164,13.0,25.0,0.07295138851623051,0.003130059689283371,0.009198160367926415,0.7036592681463707,0.03737665165379623,-0.005248357591250167,-1.0631688017046648,0.0001999600079984003,0.001799640071985603,4.0
head,spectral_radius,injected-control,4,21,38.0,-0.002688338980078697,-0.0016837120056152344,0.0065052201971411705,-0.41325873136520386,13.0,25.0,0.07295138851623051,0.014223557896912098,0.015196960607878424,0.8978204359128175,0.05187229220822502,-0.003229525661671384,-0.5108331248680348,0.027194561087782444,0.8686262747450509,4.0
head,spectral_radius,injected-control,4,22,38.0,-0.0032859351485967636,-0.003707408905029297,0.0069887228310108185,-0.4701767861843109,7.0,31.0,0.00011616700794547796,0.0004704662715084851,0.007398520295940812,0.6474705058988203,0.031832289004384,-0.005123887998796112,-0.9648318388274935,0.0001999600079984003,0.007398520295940812,4.0
head,spectral_radius,injected-control,4,23,38.0,0.0030347860883921385,0.0015933513641357422,0.009263196960091591,0.3276175856590271,25.0,13.0,0.07295138851623051,0.07920455932617188,0.04539092181563687,0.999000199960008,0.12427888753800041,0.0011526603524946606,0.17587620884449498,0.489502099580084,1.0,4.0
head,spectral_radius,injected-control,4,24,38.0,0.001148942275904119,0.0009666085243225098,0.004276819061487913,0.2686441242694855,24.0,14.0,0.14330665429588407,0.09864871203899384,0.10957808438312337,1.0,0.2271416162111707,0.001041921014563451,0.24288635053427485,0.3157368526294741,1.0,4.0
head,spectral_radius,injected-control,4,25,38.0,0.003106264630332589,0.002520620822906494,0.005689649377018213,0.5459501147270203,28.0,10.0,0.0050976432976312935,0.0017339391633868217,0.0015996800639872025,0.2965406918616277,0.010920482570152636,0.002794267446590133,0.5209614563788725,0.007998400319936013,0.8400319936012798,4.0
head,spectral_radius,injected-control,4,26,38.0,-0.00015317139332182705,-0.001011967658996582,0.005788594949990511,-0.02646089345216751,17.0,21.0,0.6271025701571489,0.5659611225128174,0.8690261947610478,1.0,0.9231149620698267,-0.0011194123387078408,-0.20885537213055358,0.27994401119776047,1.0,4.0
head,spectral_radius,injected-control,4,27,38.0,0.002192362444475293,0.002230823040008545,0.004755191504955292,0.46104609966278076,24.0,14.0,0.14330665429588407,0.014845291152596474,0.007198560287942412,0.6938612277544491,0.03123443107988572,0.0013888387799819793,0.35535172518584546,0.0597880423915217,1.0,4.0
head,spectral_radius,injected-control,4,28,38.0,-0.003989489283412695,-0.004693031311035156,0.00878523662686348,-0.4541128873825073,11.0,27.0,0.013852965261321515,0.0034707074519246817,0.007998400319936013,0.727254549090182,0.033025652933929346,-0.0058601370883045335,-0.7663145339457516,0.0003999200159968006,0.10177964407118577,4.0
head,spectral_radius,injected-control,4,29,38.0,-0.0031950976699590683,-0.002958834171295166,0.005273348651826382,-0.6058954000473022,14.0,24.0,0.14330665429588407,0.002278842031955719,0.0007998400319936012,0.1261747650469906,0.007184528006679365,-0.00387713235252037,-0.7781606442786478,0.0005998800239952009,0.08958208358328335,4.0
head,spectral_radius,injected-control,4,30,38.0,-0.0035117112565785646,-0.002562582492828369,0.0070151062682271,-0.5005927085876465,12.0,26.0,0.03355243967962451,0.0025363387539982796,0.0033993201359728054,0.4959008198360328,0.018129707391854964,-0.0042107693034216746,-0.5981678514834584,0.00599880023995201,0.5532893421315737,4.0
