level,measure,contrast,layer,head,n,mean,median,sd,dz,n_pos,n_neg,p_sign,p_wilcoxon,p_perm,p_fwer,q_bh
head,salience_readout,injected-control,14,29,39.0,0.008817287161946297,0.0018140040338039398,0.0319218672811985,0.2762146294116974,20.0,19.0,1.0,0.25271353125572205,0.09238152369526095,1.0,0.12579611737227023
head,salience_readout,injected-control,14,30,39.0,-0.0003098738379776478,-0.005074400454759598,0.03262701258063316,-0.009497462771832943,15.0,24.0,0.19959086691960698,0.6940286755561829,0.9544091181763648,1.0,0.9600343192658128
head,salience_readout,injected-control,14,31,39.0,-0.012317956425249577,-0.01585603505373001,0.028630729764699936,-0.43023550510406494,13.0,26.0,0.05325191409792752,0.008191296830773354,0.011397720455908818,0.6036792641471705,0.019259514433746912
head,salience_readout,injected-control,15,0,39.0,0.0034331483766436577,0.003521392121911049,0.016059674322605133,0.21377447247505188,26.0,13.0,0.05325191409792752,0.08484961092472076,0.1889622075584883,1.0,0.23829716815257637
head,salience_readout,injected-control,15,1,39.0,0.015088319778442383,0.011568555608391762,0.016558021306991577,0.9112393260002136,35.0,4.0,3.353161446284503e-07,2.087472239509225e-08,0.0001999600079984003,0.0005998800239952009,0.0005534028329469241
head,salience_readout,injected-control,15,2,39.0,0.00884715374559164,0.00846532266587019,0.01234921533614397,0.716414213180542,32.0,7.0,7.025478407740593e-05,2.7831338229589164e-05,0.0001999600079984003,0.0065986802639472104,0.0005534028329469241
head,salience_readout,injected-control,15,3,39.0,0.00522184744477272,0.00556978490203619,0.01322021521627903,0.39498957991600037,25.0,14.0,0.10812902140605732,0.01971261017024517,0.01919616076784643,0.7914417116576684,0.030428589204759663
head,salience_readout,injected-control,15,4,39.0,-0.003575915703549981,-0.007320573553442955,0.05198538675904274,-0.06878694146871567,17.0,22.0,0.5223973804968411,0.3721330165863037,0.6722655468906219,1.0,0.7246314947536808
head,salience_readout,injected-control,15,5,39.0,0.010187722742557526,0.006300833076238632,0.015987543389201164,0.637228786945343,30.0,9.0,0.0010650196345523,0.00024956127163022757,0.0005998800239952009,0.028594281143771244,0.0014419651281011403
head,salience_readout,injected-control,15,6,39.0,0.010162798687815666,0.008814956992864609,0.018382426351308823,0.552854061126709,29.0,10.0,0.0033778479119064286,0.00046626009861938655,0.001799640071985603,0.1321735652869426,0.0037918342257474433
head,salience_readout,injected-control,15,7,39.0,-0.0025401131715625525,-0.0016725435853004456,0.05071721225976944,-0.05008384957909584,17.0,22.0,0.5223973804968411,0.8306540846824646,0.7544491101779645,1.0,0.7980949264692516
head,salience_readout,injected-control,15,8,39.0,0.004648667760193348,0.0042807310819625854,0.015876423567533493,0.29280319809913635,26.0,13.0,0.05325191409792752,0.06609810888767242,0.07978404319136173,0.9974005198960207,0.11100388617928589
head,salience_readout,injected-control,15,9,39.0,0.0012565875658765435,0.0010185602586716413,0.001831451547332108,0.6861156225204468,29.0,10.0,0.0033778479119064286,0.00013767225027550012,0.0001999600079984003,0.011397720455908818,0.0005534028329469241
head,salience_readout,injected-control,15,10,39.0,0.00020795308228116482,0.0003127917880192399,0.0012591894483193755,0.16514836251735687,30.0,9.0,0.0010650196345523,0.012091577053070068,0.3101379724055189,1.0,0.3650359583255762
head,salience_readout,injected-control,15,11,39.0,0.0036978621501475573,0.0029617175459861755,0.0054489499889314175,0.6786375641822815,33.0,6.0,1.429926123819314e-05,5.105841046315618e-05,0.0001999600079984003,0.013597280543891222,0.0005534028329469241
head,salience_readout,injected-control,15,12,39.0,-0.0010989877628162503,-0.004675977863371372,0.027263544499874115,-0.04030979052186012,16.0,23.0,0.3367836351899315,0.5759103298187256,0.8060387922415517,1.0,0.8417178352947297
head,salience_readout,injected-control,15,13,39.0,0.004478730261325836,0.000674782320857048,0.01888154074549675,0.237201526761055,20.0,19.0,1.0,0.4428761601448059,0.14737052589482103,1.0,0.1886342731453709
